 	\u0020	alt-032	SPACE
!	\u0021	alt-033	EXCLAMATION MARK = factorial = bang
"	\u0022	alt-034	QUOTATION MARK
#	\u0023	alt-035	NUMBER SIGN = pound sign, hash, crosshatch, octothorpe
$	\u0024	alt-036	DOLLAR SIGN = milreis, escudo
%	\u0025	alt-037	PERCENT SIGN
&	\u0026	alt-038	AMPERSAND
'	\u0027	alt-039	APOSTROPHE = apostrophe-quote = APL quote
(	\u0028	alt-040	LEFT PARENTHESIS = opening parenthesis
)	\u0029	alt-041	RIGHT PARENTHESIS = closing parenthesis
*	\u002A	alt-042	ASTERISK = star on phone keypads
+	\u002B	alt-043	PLUS SIGN
,	\u002C	alt-044	COMMA = decimal separator
-	\u002D	alt-045	HYPHEN-MINUS = hyphen or minus sign
.	\u002E	alt-046	FULL STOP period, dot, decimal point
/	\u002F	alt-047	SOLIDUS slash, virgule
ASCII digits

0	\u0030	alt-048	DIGIT ZERO
1	\u0031	alt-049	DIGIT ONE
2	\u0032	alt-050	DIGIT TWO
3	\u0033	alt-051	DIGIT THREE
4	\u0034	alt-052	DIGIT FOUR
5	\u0035	alt-053	DIGIT FIVE
6	\u0036	alt-054	DIGIT SIX
7	\u0037	alt-055	DIGIT SEVEN
8	\u0038	alt-056	DIGIT EIGHT
9	\u0039	alt-057	DIGIT NINE
ASCII punctuation and symbols

:	\u003A	alt-058	COLON
;	\u003B	alt-059	SEMICOLON
<	\u003C	alt-060	LESS-THAN SIGN
=	\u003D	alt-061	EQUALS SIGN
>	\u003E	alt-062	GREATER-THAN SIGN
?	\u003F	alt-063	QUESTION MARK
@	\u0040	alt-064	COMMERCIAL AT at sign
Uppercase Latin alphabet

A	\u0041	alt-065	LATIN CAPITAL LETTER A
B	\u0042	alt-066	LATIN CAPITAL LETTER B
C	\u0043	alt-067	LATIN CAPITAL LETTER C
D	\u0044	alt-068	LATIN CAPITAL LETTER D
E	\u0045	alt-069	LATIN CAPITAL LETTER E
F	\u0046	alt-070	LATIN CAPITAL LETTER F
G	\u0047	alt-071	LATIN CAPITAL LETTER G
H	\u0048	alt-072	LATIN CAPITAL LETTER H
I	\u0049	alt-073	LATIN CAPITAL LETTER I
J	\u004A	alt-074	LATIN CAPITAL LETTER J
K	\u004B	alt-075	LATIN CAPITAL LETTER K
L	\u004C	alt-076	LATIN CAPITAL LETTER L
M	\u004D	alt-077	LATIN CAPITAL LETTER M
N	\u004E	alt-078	LATIN CAPITAL LETTER N
O	\u004F	alt-079	LATIN CAPITAL LETTER O
P	\u0050	alt-080	LATIN CAPITAL LETTER P
Q	\u0051	alt-081	LATIN CAPITAL LETTER Q
R	\u0052	alt-082	LATIN CAPITAL LETTER R
S	\u0053	alt-083	LATIN CAPITAL LETTER S
T	\u0054	alt-084	LATIN CAPITAL LETTER T
U	\u0055	alt-085	LATIN CAPITAL LETTER U
V	\u0056	alt-086	LATIN CAPITAL LETTER V
W	\u0057	alt-087	LATIN CAPITAL LETTER W
X	\u0058	alt-088	LATIN CAPITAL LETTER X
Y	\u0059	alt-089	LATIN CAPITAL LETTER Y
Z	\u005A	alt-090	LATIN CAPITAL LETTER Z
ASCII punctuation and symbols

[	\u005B	alt-091	LEFT SQUARE BRACKET = opening square bracket
\	\u005C	alt-092	REVERSE SOLIDUS = backslash
]	\u005D	alt-093	RIGHT SQUARE BRACKET = closing square bracket
^	\u005E	alt-094	CIRCUMFLEX ACCENT
_	\u005F	alt-095	LOW LINE spacing underscore
`	\u0060	alt-096	GRAVE ACCENT
Lowercase Latin alphabet

a	\u0061	alt-097	LATIN SMALL LETTER A
b	\u0062	alt-098	LATIN SMALL LETTER B
c	\u0063	alt-099	LATIN SMALL LETTER C
d	\u0064	alt-0100	LATIN SMALL LETTER D
e	\u0065	alt-0101	LATIN SMALL LETTER E
f	\u0066	alt-0102	LATIN SMALL LETTER F
g	\u0067	alt-0103	LATIN SMALL LETTER G
h	\u0068	alt-0104	LATIN SMALL LETTER H
i	\u0069	alt-0105	LATIN SMALL LETTER I
j	\u006A	alt-0106	LATIN SMALL LETTER J
k	\u006B	alt-0107	LATIN SMALL LETTER K
l	\u006C	alt-0108	LATIN SMALL LETTER L
m	\u006D	alt-0109	LATIN SMALL LETTER M
n	\u006E	alt-0110	LATIN SMALL LETTER N
o	\u006F	alt-0111	LATIN SMALL LETTER O
p	\u0070	alt-0112	LATIN SMALL LETTER P
q	\u0071	alt-0113	LATIN SMALL LETTER Q
r	\u0072	alt-0114	LATIN SMALL LETTER R
s	\u0073	alt-0115	LATIN SMALL LETTER S
t	\u0074	alt-0116	LATIN SMALL LETTER T
u	\u0075	alt-0117	LATIN SMALL LETTER U
v	\u0076	alt-0118	LATIN SMALL LETTER V
w	\u0077	alt-0119	LATIN SMALL LETTER W
x	\u0078	alt-0120	LATIN SMALL LETTER X
y	\u0079	alt-0121	LATIN SMALL LETTER Y
z	\u007A	alt-0122	LATIN SMALL LETTER Z
ASCII punctuation and symbols

{	\u007B	alt-0123	LEFT CURLY BRACKET = opening curly bracket = left brace
|	\u007C	alt-0124	VERTICAL LINE = vertical bar
}	\u007D	alt-0125	RIGHT CURLY BRACKET = closing curly bracket = right brace
~	\u007E	alt-0126	TILDE
Control character

	\u007F	alt-0127	<control> = DELETE
Latin-1 punctuation and symbols Based on ISO/IEC 8859-1 aka Latin-1 from here.

 	\u00A0	alt-0160	NO-BREAK SPACE commonly abbreviated as NBSP
¡	\u00A1	alt-0161	INVERTED EXCLAMATION MARK Spanish, Asturian, Galician
¢	\u00A2	alt-0162	CENT SIGN
£	\u00A3	alt-0163	POUND SIGN pound sterling, Irish punt, Italian lira, Turkish lira, etc.
¤	\u00A4	alt-0164	CURRENCY SIGN
¥	\u00A5	alt-0165	YEN SIGN = yuan sign
¦	\u00A6	alt-0166	BROKEN BAR = broken vertical bar = parted rule in typography
§	\u00A7	alt-0167	SECTION SIGN
¨	\u00A8	alt-0168	DIAERESIS
©	\u00A9	alt-0169	COPYRIGHT SIGN
ª	\u00AA	alt-0170	FEMININE ORDINAL INDICATOR windows "alt 166"
«	\u00AB	alt-0171	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK = left guillemet = chevrons in typography
¬	\u00AC	alt-0172	NOT SIGN = angled dash in typography
 	\u00AD	alt-0173	SOFT HYPHEN = discretionary hyphen
®	\u00AE	alt-0174	REGISTERED SIGN = registered trade mark sign
¯	\u00AF	alt-0175	MACRON = overline, APL overbar
°	\u00B0	alt-0176	DEGREE SIGN
±	\u00B1	alt-0177	PLUS-MINUS SIGN
²	\u00B2	alt-0178	SUPERSCRIPT TWO = squared
³	\u00B3	alt-0179	SUPERSCRIPT THREE = cubed
´	\u00B4	alt-0180	ACUTE ACCENT
µ	\u00B5	alt-0181	MICRO SIGN
¶	\u00B6	alt-0182	PILCROW SIGN = paragraph sign
·	\u00B7	alt-0183	MIDDLE DOT = midpoint in typography = Georgian comma = Greek middle dot ano teleia
¸	\u00B8	alt-0184	CEDILLA
¹	\u00B9	alt-0185	SUPERSCRIPT ONE
º	\u00BA	alt-0186	MASCULINE ORDINAL INDICATOR windows "alt 167"
»	\u00BB	alt-0187	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK = right guillemet
¼	\u00BC	alt-0188	VULGAR FRACTION ONE QUARTER
½	\u00BD	alt-0189	VULGAR FRACTION ONE HALF
¾	\u00BE	alt-0190	VULGAR FRACTION THREE QUARTERS
¿	\u00BF	alt-0191	INVERTED QUESTION MARK = turned question mark
Letters

À	\u00C0	alt-0192	LATIN CAPITAL LETTER A WITH GRAVE
Á	\u00C1	alt-0193	LATIN CAPITAL LETTER A WITH ACUTE
Â	\u00C2	alt-0194	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã	\u00C3	alt-0195	LATIN CAPITAL LETTER A WITH TILDE
Ä	\u00C4	alt-0196	LATIN CAPITAL LETTER A WITH DIAERESIS
Å	\u00C5	alt-0197	LATIN CAPITAL LETTER A WITH RING ABOVE
Æ	\u00C6	alt-0198	LATIN CAPITAL LETTER AE = latin capital ligature ae
Ç	\u00C7	alt-0199	LATIN CAPITAL LETTER C WITH CEDILLA
È	\u00C8	alt-0200	LATIN CAPITAL LETTER E WITH GRAVE
É	\u00C9	alt-0201	LATIN CAPITAL LETTER E WITH ACUTE
Ê	\u00CA	alt-0202	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ë	\u00CB	alt-0203	LATIN CAPITAL LETTER E WITH DIAERESIS
Ì	\u00CC	alt-0204	LATIN CAPITAL LETTER I WITH GRAVE
Í	\u00CD	alt-0205	LATIN CAPITAL LETTER I WITH ACUTE
Î	\u00CE	alt-0206	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
Ï	\u00CF	alt-0207	LATIN CAPITAL LETTER I WITH DIAERESIS
Ð	\u00D0	alt-0208	LATIN CAPITAL LETTER ETH
Ñ	\u00D1	alt-0209	LATIN CAPITAL LETTER N WITH TILDE
Ò	\u00D2	alt-0210	LATIN CAPITAL LETTER O WITH GRAVE
Ó	\u00D3	alt-0211	LATIN CAPITAL LETTER O WITH ACUTE
Ô	\u00D4	alt-0212	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
Õ	\u00D5	alt-0213	LATIN CAPITAL LETTER O WITH TILDE
Ö	\u00D6	alt-0214	LATIN CAPITAL LETTER O WITH DIAERESIS
Mathematical operator

×	\u00D7	alt-0215	MULTIPLICATION SIGN = z notation Cartesian product
Letters

Ø	\u00D8	alt-0216	LATIN CAPITAL LETTER O WITH STROKE = o slash
Ù	\u00D9	alt-0217	LATIN CAPITAL LETTER U WITH GRAVE
Ú	\u00DA	alt-0218	LATIN CAPITAL LETTER U WITH ACUTE
Û	\u00DB	alt-0219	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
Ü	\u00DC	alt-0220	LATIN CAPITAL LETTER U WITH DIAERESIS
Ý	\u00DD	alt-0221	LATIN CAPITAL LETTER Y WITH ACUTE
Þ	\u00DE	alt-0222	LATIN CAPITAL LETTER THORN
ß	\u00DF	alt-0223	LATIN SMALL LETTER SHARP S = Eszett
à	\u00E0	alt-0224	LATIN SMALL LETTER A WITH GRAVE
á	\u00E1	alt-0225	LATIN SMALL LETTER A WITH ACUTE
â	\u00E2	alt-0226	LATIN SMALL LETTER A WITH CIRCUMFLEX
ã	\u00E3	alt-0227	LATIN SMALL LETTER A WITH TILDE
ä	\u00E4	alt-0228	LATIN SMALL LETTER A WITH DIAERESIS
å	\u00E5	alt-0229	LATIN SMALL LETTER A WITH RING ABOVE
æ	\u00E6	alt-0230	LATIN SMALL LETTER AE = latin small ligature ae = ash from Old English æsc
ç	\u00E7	alt-0231	LATIN SMALL LETTER C WITH CEDILLA
è	\u00E8	alt-0232	LATIN SMALL LETTER E WITH GRAVE
é	\u00E9	alt-0233	LATIN SMALL LETTER E WITH ACUTE
